df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,battery
9.017,40
18.936,40
29.053,40
38.949,40
48.944,40
58.976,40
68.930,40
78.999,40
88.918,40
98.911,40
108.921,40
118.996,40
128.893,40
138.937,40
148.928,40
158.957,40
168.916,40
179.010,40
188.907,40
198.897,39
208.891,39
218.884,39
228.890,39
238.921,39
248.915,39
258.913,39
268.965,39
278.896,39
288.889,39
298.920,39
308.877,39
318.968,39
329.011,39
338.906,39
348.905,39
358.894,39
368.888,39
378.881,39
388.875,39
398.971,39
408.960,39
419.014,39
428.903,39
438.990,39
448.887,39
458.880,39
468.874,39
478.916,39
488.863,39
498.856,39
508.849,39
518.891,38
528.885,38
538.879,38
548.880,38
